Token               Value               Row                 Col                 
int                 int                 1                   1                   
ID                  program             1                   5                   
(                   (                   1                   12                  
int                 int                 1                   13                  
ID                  a                   1                   17                  
,                   ,                   1                   18                  
int                 int                 1                   19                  
ID                  b                   1                   23                  
,                   ,                   1                   24                  
int                 int                 1                   25                  
ID                  c                   1                   29                  
)                   )                   1                   30                  
{                   {                   2                   1                   
int                 int                 3                   5                   
ID                  i                   3                   9                   
;                   ;                   3                   10                  
int                 int                 4                   5                   
ID                  j                   4                   9                   
;                   ;                   4                   10                  
ID                  i                   5                   5                   
=                   =                   5                   6                   
num                 0                   5                   7                   
;                   ;                   5                   8                   
if                  if                  6                   5                   
(                   (                   6                   7                   
ID                  a                   6                   8                   
>                   >                   6                   9                   
(                   (                   6                   10                  
ID                  b                   6                   11                  
+                   +                   6                   12                  
ID                  c                   6                   13                  
)                   )                   6                   14                  
)                   )                   6                   15                  
{                   {                   7                   5                   
ID                  j                   8                   9                   
=                   =                   8                   10                  
ID                  a                   8                   11                  
+                   +                   8                   12                  
(                   (                   8                   13                  
ID                  b                   8                   14                  
*                   *                   8                   15                  
ID                  c                   8                   16                  
+                   +                   8                   17                  
num                 1                   8                   18                  
)                   )                   8                   19                  
;                   ;                   8                   20                  
}                   }                   9                   5                   
else                else                10                  5                   
{                   {                   11                  5                   
ID                  j                   12                  9                   
=                   =                   12                  10                  
ID                  a                   12                  11                  
;                   ;                   12                  12                  
}                   }                   13                  5                   
while               while               14                  5                   
(                   (                   14                  10                  
ID                  i                   14                  11                  
<=                  <=                  14                  12                  
num                 100                 14                  14                  
)                   )                   14                  17                  
{                   {                   15                  5                   
ID                  j                   16                  9                   
=                   =                   16                  10                  
ID                  j                   16                  11                  
*                   *                   16                  12                  
num                 2                   16                  13                  
;                   ;                   16                  14                  
}                   }                   17                  5                   
return              return              18                  5                   
ID                  i                   18                  12                  
;                   ;                   18                  13                  
}                   }                   19                  1                   
int                 int                 20                  1                   
ID                  demo                20                  5                   
(                   (                   20                  9                   
int                 int                 20                  10                  
ID                  a                   20                  14                  
)                   )                   20                  15                  
{                   {                   21                  1                   
ID                  a                   22                  5                   
=                   =                   22                  6                   
ID                  a                   22                  7                   
+                   +                   22                  8                   
num                 2                   22                  9                   
;                   ;                   22                  10                  
return              return              23                  5                   
ID                  a                   23                  12                  
*                   *                   23                  13                  
num                 2                   23                  14                  
;                   ;                   23                  15                  
}                   }                   24                  1                   
void                void                25                  1                   
ID                  main                25                  6                   
(                   (                   25                  10                  
void                void                25                  11                  
)                   )                   25                  15                  
{                   {                   26                  1                   
int                 int                 27                  5                   
ID                  a                   27                  9                   
;                   ;                   27                  10                  
int                 int                 28                  5                   
ID                  b                   28                  9                   
;                   ;                   28                  10                  
int                 int                 29                  5                   
ID                  c                   29                  9                   
;                   ;                   29                  10                  
ID                  a                   30                  5                   
=                   =                   30                  6                   
num                 3                   30                  7                   
;                   ;                   30                  8                   
ID                  b                   31                  5                   
=                   =                   31                  6                   
num                 4                   31                  7                   
;                   ;                   31                  8                   
ID                  c                   32                  5                   
=                   =                   32                  6                   
num                 2                   32                  7                   
;                   ;                   32                  8                   
ID                  a                   33                  5                   
=                   =                   33                  6                   
ID                  program             33                  7                   
(                   (                   33                  14                  
ID                  a                   33                  15                  
,                   ,                   33                  16                  
ID                  b                   33                  17                  
,                   ,                   33                  18                  
ID                  demo                33                  19                  
(                   (                   33                  23                  
ID                  c                   33                  24                  
)                   )                   33                  25                  
)                   )                   33                  26                  
;                   ;                   33                  27                  
return              return              34                  5                   
;                   ;                   34                  12                  
}                   }                   35                  1                   
